concept id	representation id	en	kanji	kana
FMA7235	BP9455	mitral valve	左房室弁;僧帽弁;二尖弁	さぼうしつべん;そうぼうべん;にせんべん
FMA7236	BP9447	aortic valve	大動脈弁	だいどうみゃくべん
FMA7238	BP9920	anterior leaflet of tricuspid valve	三尖弁の前尖	さんせんべんのぜんせん
FMA7239	BP9829	posterior leaflet of tricuspid valve	三尖弁の後尖	さんせんべんのこうせん
FMA7240	BP9887	septal leaflet of tricuspid valve	三尖弁の中隔尖	さんせんべんのちゅうかくせん
FMA7242	BP9874	anterior leaflet of mitral valve	僧帽弁の前尖	そうぼうべんのぜんせん
FMA7243	BP9998	posterior leaflet of mitral valve	僧帽弁の後尖	そうぼうべんのこうせん
FMA7246	BP9868	pulmonary valve	肺動脈弁	はいどうみゃくべん
FMA7247	BP10131	left anterior cusp of pulmonary valve	left anterior cusp of pulmonary valve	left anterior cusp of pulmonary valve
FMA7249	BP10108	right anterior cusp of pulmonary valve	right anterior cusp of pulmonary valve	right anterior cusp of pulmonary valve
FMA7250	BP9867	posterior cusp of pulmonary valve	posterior cusp of pulmonary valve	posterior cusp of pulmonary valve
FMA7252	BP9446	right posterior cusp of aortic valve	後半月弁;大動脈弁の無冠尖	こうはんげつべん;だいどうみゃくべんのむかんせん
FMA7253	BP9760	anterior cusp of aortic valve	右半月弁;大動脈弁の右冠尖	うはんげつべん;だいどうみゃくべんのうかんせん
FMA7254	BP9993	left posterior cusp of aortic valve	左半月弁;大動脈弁の左冠尖	さはんげつべん;だいどうみゃくべんのさかんせん
FMA7259	BP9595	papillary muscle of right ventricle	papillary muscle of right ventricle	papillary muscle of right ventricle
FMA7260	BP10231	anterior papillary muscle of right ventricle	右心室の前乳頭筋	うしんしつのぜんにゅうとうきん
FMA7261	BP9637	posterior papillary muscle of right ventricle	右心室の後乳頭筋	うしんしつのこうにゅうとうきん
FMA7262	BP9594	septal papillary muscle of right ventricle	右心室の中隔乳頭筋	うしんしつのちゅうかくにゅうとうきん
FMA7264	BP9853	lateral papillary muscle of left ventricle	左心室の前乳頭筋	さしんしつのぜんにゅうとうきん
FMA7265	BP9842	anterolateral head of lateral papillary muscle of left ventricle	anterolateral head of lateral papillary muscle of left ventricle	anterolateral head of lateral papillary muscle of left ventricle
FMA7309	BP9359	right lung	右肺	うはい
FMA7310	BP9417	left lung	左肺	さはい
FMA7333	BP9424	upper lobe of right lung	右肺、上葉	うはい、じょうよう
FMA7337	BP9403	lower lobe of right lung	右肺、下葉	うはい、かよう
FMA7338	BP9593	right apical bronchopulmonary segment	肺尖区（S1）;右肺の尖区（S1）	はいせんく（S1）;うはいのせんく（S1）
FMA7339	BP9423	right posterior bronchopulmonary segment	右肺の後上葉区（S2）;右肺、上葉の後区（S2）	うはいのこうじょうようく（S2）;うはい、じょうようのこうく（S2）
FMA7359	BP9527	right anterior bronchopulmonary segment	右肺の前上葉区（S3）;右肺、上葉の前区（S3）	うはいのぜんじょうようく;うはい、じょうようぜんく（S2）
FMA7360	BP9367	medial bronchopulmonary segment	右肺の内側中葉区（S5）;右肺、中葉の内側区（S5）	うはいのないそくちゅうようく（S5）;うはい、ちゅうようのないそくく（S5）
FMA7361	BP9445	lateral bronchopulmonary segment	外側中葉区（S4）;右肺、中葉の外側区（S4）	がいそくちゅうようく;がいそくく（S4）（うはい、ちゅうよう）
FMA7362	BP9469	right posterior basal bronchopulmonary segment	右肺の後肺底区（S10）;右肺、下葉の後底区（S10）	うはいのこうはいていく（S10）;うはい、かようのこうていく（S10）
FMA7363	BP9402	right lateral basal bronchopulmonary segment	右肺の外側肺底区（S9）	うはいのがいそくはいていく（S9）
FMA7364	BP9502	right anterior basal bronchopulmonary segment	右肺の前肺底区（S8）;右肺、下葉の前底区（S8）	うはいのぜんはいていく（S8）;うはい、かようのぜんていく（S8）
FMA7365	BP9490	right medial basal bronchopulmonary segment	右肺の内側肺底区（S7）;右肺、下葉の内側底区（S7）;右肺、下葉の心臓区（S7）	うはいのないそくはいていく（S7）;うはい、かようのないそくていく（S7）;うはい、かようしんぞうく（S7）
FMA7366	BP9524	right superior bronchopulmonary segment	右肺の上竏忠ｺ葉区（S6）;右肺、下葉の上区（S6）	うはいのじょう−かようく（S6）;うはい、かようのじょうく（S6）
FMA7370	BP9476	upper lobe of left lung	左肺、上葉	さはい、じょうよう
FMA7371	BP9419	lower lobe of left lung	左肺、下葉	さはい、かよう
FMA7372	BP9577	apicoposterior bronchopulmonary segment	左肺の肺尖後区（S1+2）;左肺、上葉の尖後区（S1+2）	さはいのはいせんこうく（S1+2）;さはい、じょうようのせんこうく（S1+2）
FMA7373	BP9475	left anterior bronchopulmonary segment	左肺の前上葉区（S3）;左肺、上葉の前区（S3）	さはいのぜんじょうようく（S3）;さはい、じょうようのぜんく（S3）
FMA7374	BP9566	superior lingular bronchopulmonary segment	左肺の上舌区（S4）	さはいのじょうぜつく（S4）
FMA7375	BP9500	inferior lingular bronchopulmonary segment	左肺の下舌区（S5）	さはいのかぜつく（S5）
FMA7376	BP9420	left superior bronchopulmonary segment	左肺の上竏忠ｺ葉区（S6）;左肺、下葉の上区（S6）	さはいのじょう−かようく（S6）;さはい、かようのうじょうく（S6）
FMA7377	BP9630	left medial basal bronchopulmonary segment	左肺の内側肺底区（S7）;左肺、下葉の内側底区（S7）;左肺、下葉の心臓区（S7）	さはいのないそくはいていく（S7）;さはい、かようのないそくていく（S7）;さはい、かようのしんぞうく（S7）
FMA7378	BP9553	left anterior basal bronchopulmonary segment	左肺の前肺底区（S8）;左肺、下葉の前底区（S8）	さはいのぜんはいていく（S8）;さはい、かようのぜんていく（S8）
FMA7379	BP9616	left lateral basal bronchopulmonary segment	左肺の外側肺底区（S9）	さはいのがいそくはいていく（S9）
FMA7380	BP9513	left posterior basal bronchopulmonary segment	左肺の後肺底区（S10）;左肺、下葉の後底区（S10）	さはいのこうはいていく（S10）;さはい、かようのこうていく（S10）
FMA7383	BP9358	middle lobe of lung	中葉［右肺の］|右肺、中葉	うはい、ちゅうよう
FMA7385	BP9648	left apical bronchopulmonary segment	left apical bronchopulmonary segment	left apical bronchopulmonary segment
FMA7386	BP9575	left posterior bronchopulmonary segment	left posterior bronchopulmonary segment	left posterior bronchopulmonary segment
FMA7393	BP9374	tracheobronchial tree	tracheobronchial tree	tracheobronchial tree
FMA7394	BP9373	trachea	気管	きかん
FMA7395	BP9932	right main bronchus	右主気管支	うしゅきかんし
FMA7396	BP9732	left main bronchus	左主気管支	さしゅきかんし
FMA7480	BP9393	rib cage	胸郭	きょうかく
FMA7481	BP9347	skeletal system of thorax	skeletal system of thorax	skeletal system of thorax
FMA7482	BP9344	musculoskeletal system	musculoskeletal system	musculoskeletal system
FMA7483	BP9341	axial skeletal system	axial skeletal system	axial skeletal system
FMA7485	BP9392	sternum	胸骨	きょうこつ
FMA7486	BP9840	manubrium	胸骨柄	きょうこつへい
FMA7487	BP10083	body of sternum	胸骨体	きょうこつたい
FMA7488	BP9391	xiphoid process	剣状突起	けんじょうとっき
FMA7563	BP9315	body compartment	body compartment	body compartment
FMA7647	BP6706	spinal cord	脊髄	せきずい
FMA7857	BP9714	right first rib	right first rib	right first rib
FMA7875	BP9771	right first costal cartilage	right first costal cartilage	right first costal cartilage
FMA7882	BP10229	right second rib	right second rib	right second rib
FMA7886	BP10045	right second costal cartilage	right second costal cartilage	right second costal cartilage
FMA7909	BP10077	right third rib	right third rib	right third rib
FMA7913	BP10093	right third costal cartilage	right third costal cartilage	right third costal cartilage
FMA7957	BP10139	right fourth rib	right fourth rib	right fourth rib
FMA7976	BP9827	right fourth costal cartilage	right fourth costal cartilage	right fourth costal cartilage
FMA7987	BP9978	left first rib	left first rib	left first rib
FMA8005	BP9930	left first costal cartilage	left first costal cartilage	left first costal cartilage
FMA8012	BP10089	left second rib	left second rib	left second rib
FMA8031	BP9764	left second costal cartilage	left second costal cartilage	left second costal cartilage
FMA8039	BP9720	left third rib	left third rib	left third rib
FMA8058	BP9942	left third costal cartilage	left third costal cartilage	left third costal cartilage
FMA8066	BP9975	right fifth rib	right fifth rib	right fifth rib
FMA8070	BP9987	right fifth costal cartilage	right fifth costal cartilage	right fifth costal cartilage
FMA8093	BP9794	left fifth rib	left fifth rib	left fifth rib
FMA8112	BP9973	left fifth costal cartilage	left fifth costal cartilage	left fifth costal cartilage
FMA8148	BP9589	left fourth rib	left fourth rib	left fourth rib
FMA8167	BP9958	left fourth costal cartilage	left fourth costal cartilage	left fourth costal cartilage
FMA8175	BP10033	right sixth rib	right sixth rib	right sixth rib
FMA8194	BP9396	right sixth costal cartilage	right sixth costal cartilage	right sixth costal cartilage
FMA8202	BP10114	left sixth rib	left sixth rib	left sixth rib
FMA8221	BP9713	left sixth costal cartilage	left sixth costal cartilage	left sixth costal cartilage
FMA8229	BP9669	right seventh rib	right seventh rib	right seventh rib
FMA8248	BP9725	right seventh costal cartilage	right seventh costal cartilage	right seventh costal cartilage
FMA8256	BP10209	left seventh rib	left seventh rib	left seventh rib
FMA8275	BP9823	left seventh costal cartilage	left seventh costal cartilage	left seventh costal cartilage
FMA8283	BP10133	right eighth rib	right eighth rib	right eighth rib
FMA8310	BP9918	left eighth rib	left eighth rib	left eighth rib
FMA8364	BP10184	right ninth rib	right ninth rib	right ninth rib
FMA8391	BP9773	left ninth rib	left ninth rib	left ninth rib
FMA8445	BP9749	right tenth rib	right tenth rib	right tenth rib
FMA8472	BP10173	left tenth rib	left tenth rib	left tenth rib
FMA8531	BP10071	right eleventh rib	right eleventh rib	right eleventh rib
FMA8532	BP10142	left eleventh rib	left eleventh rib	left eleventh rib
FMA8533	BP10213	right twelfth rib	right twelfth rib	right twelfth rib
FMA8534	BP10125	left twelfth rib	left twelfth rib	left twelfth rib
FMA8612	BP9912	pulmonary trunk	肺動脈幹;肺動脈	はいどうみゃくかん;はいどうみゃく
FMA8617	BP9667	right apical segmental artery	肺尖動脈（A1);肺尖区動脈（A1);右肺の尖区域動脈（A1)	はいせんどうみゃく（A1);はいせんくどうみゃく（A1);うはいのせんくいきどうみゃく（A1)
FMA8619	BP9422	right posterior segmental artery	後上葉動脈（A2）;右肺の後区域動脈（A2）	こうじょうようどうみゃく（A2）;うはいのこうくいきどうみゃく（A2）
FMA8620	BP9744	right anterior segmental artery	前上葉動脈（A3）;前区動脈(A3);右肺の前区域動脈（A3）	ぜんじょうようどうみゃく（A3）;うはいのぜんくどうみゃく(A3);うはいのぜんくいきどうみゃく(A3)
FMA8627	BP9585	right superior segmental artery	上竏忠ｺ葉上動脈(A6);上区動脈(A6);右肺の上区域動脈(A6)	じょう−かようじょうどうみゃく(A6);じょうくどうみゃく(A6);うはいのじょうくいきどうみゃく(A6)
FMA8630	BP9768	right anterior basal segmental artery	前肺底動脈(A8);前肺底区動脈(A8);右肺の前肺底区域動脈(A8)	ぜんはいていどうみゃく(A8);ぜんはいていくどうみゃく(A8);うはいのぜんはいていくいきどうみゃく(A8)
FMA8631	BP9608	right lateral basal segmental artery	右肺の外側肺底動脈(A9)	うはいのがいそくはいていくどうみゃく(A9)
FMA8632	BP9624	right posterior basal segmental artery	後肺底動脈(A10);後肺底区動脈(A10);右肺の後肺底区域動脈(A10)	こうはいていどうみゃく(A10);こうはいていくどうみゃく(A10);うはいのこうはいていくいきどうみゃく(A10)
FMA8634	BP9657	left apical segmental artery	肺尖動脈（A1);肺尖区動脈（A1);左肺の肺尖区域動脈（A1)	はいせんどうみゃく（A1);はいせんくどうみゃく（A1);さはいのはいせんくいきどうみゃく（A1)
FMA8635	BP9793	left posterior segmental artery	後上葉動脈（A2);後区動脈（A2);左肺の後動脈（A2)	こうじょうようどうみゃく（A2);こうくどうみゃく（A2);さはいのこうどうみゃく（A2)
FMA8639	BP9726	superior lingular artery	上舌動脈(A4)	じょうぜつどうみゃく(A4)
FMA8640	BP10101	inferior lingular artery	下舌動脈(A5)	かぜつどうみゃく(A5)
FMA8642	BP9412	left superior segmental artery	上竏忠ｺ葉上動脈(A6);左肺の下葉上動脈(A6);上区動脈(A6);左肺の上区域動脈(A6)	じょう−かようじょうどうみゃく（A6);かようじょうどうみゃく(A6);じょうくどうみゃく(A6);さはいのじょうくいきどうみゃく(A6)
FMA8644	BP9628	left medial basal segmental artery	内側肺底区動脈(A7);内側肺底区域動脈(A7);左肺の内側肺底動脈(A7)	ないそくはいていくどうみゃく(A7);ないそくはいていくいきどうみゃく(A7);さはいのないそくはいていどうみゃく(A7)
FMA8645	BP9878	left anterior basal segmental artery	前肺底動脈(A8);前肺底区動脈(A8);左肺の前肺底区域動脈(A8)	さはいのぜんはいていくいきどうみゃく(A8);さはいのぜんはいていどうみゃく(A8);さはいのぜんはいていくどうみゃく(A8)
FMA8646	BP9615	left lateral basal segmental artery	左肺の外側肺底動脈(A9)	さはいのがいそくはいていどうみゃく(A9)
FMA8647	BP9511	left posterior basal segmental artery	後肺底動脈(A10);後肺底区動脈(A10);左肺の後肺底区域動脈(A10)	こうはいていどうみゃく(A10);こうはいていくどうみゃく(A10);さはいのこうはいていくいきどうみゃく(A10)
FMA8655	BP9636	right upper lobar vein	right upper lobar vein	right upper lobar vein
FMA8656	BP9357	middle lobar vein	中葉静脈;右上肺静脈の中葉枝	ちゅうようじょうみゃく;うじょうはいじょうみゃくのちゅうようし
FMA8657	BP9578	left upper lobar vein	left upper lobar vein	left upper lobar vein
FMA8658	BP9497	lingular vein	肺舌静脈;左上肺静脈の舌枝	はいぜつじょうみゃく;さじょうはいじょうみゃくのはいぜつし
FMA8661	BP9635	right apical segmental vein	肺尖静脈(V1);右上肺静脈の肺尖枝(V1)	はいせんじょうみゃく(V1);うじょうはいじょうみゃくのはいせんし(V1)
FMA8662	BP9696	right anterior segmental vein	前上葉静脈(V3);前静脈(V3);右上肺静脈の前枝(V3)	ぜんじょうようじょうみゃく(V3);ぜんじょうみゃく(V3);うじょうはいじょうみゃくのぜんし(V3)
FMA8663	BP10090	right posterior segmental vein	後上葉静脈(V2);後静脈(V2);右肺上葉の右上肺静脈の後枝(V2)	こうじょうようじょうみゃく(V2);こうじょうみゃく(V2);うはいじょうようのうじょうはいじょうみゃくのこうし(V2)
FMA8664	BP9641	lateral segmental vein	外側枝(V4);右肺中葉静脈の外側部(V4)	がいそくし(V4);うはいちゅうようじょうみゃくのがいそくぶ(V4)
FMA8665	BP9356	medial segmental vein	内側枝(V5);右肺中葉静脈の内側部(V5)	ないそくし(V5);うはいちゅうようじょうみゃくのないそくぶ(V5)
FMA8666	BP9576	apicoposterior segmental vein	肺尖後静脈(V1+2);左上肺静脈の肺尖後静脈(V1+2);左肺の左上肺静脈の肺尖後枝(V1+2)	はいせんこうじょうみゃく(V1+2);さじょうはいじょうみゃくのはいせんこうじょうみゃく(V1+2);さはいのさじょうはいじょうみゃくのはいせんこうし(V1+2)
FMA8667	BP9587	left anterior segmental vein	left anterior segmental vein	left anterior segmental vein
FMA8668	BP9565	superior lingular vein	上舌枝(V4);肺舌静脈の上部(V4)	じょうぜつし(V4);はいぜつじょうみゃくのじょうぶ(V4)
FMA8669	BP9496	inferior lingular vein	下舌枝(V5);肺舌静脈の下部(V5)	かぜつし(V5);はいぜつじょうみゃくのかぶ(V5)
FMA8670	BP9523	right superior segmental vein	上竏忠ｺ葉静脈(V6);上静脈(V6);右肺下葉の右下肺静脈の上枝(V6)|右肺下葉の上肺底静脈(V8,9)	うはいかようのじょうはいていじょうみゃく(V8,9)
FMA8671	BP9405	right common basal vein	右肺下葉の総肺底静脈	うはいかようのそうはいていじょうみゃく
FMA8672	BP9404	right superior basal vein	right superior basal vein	right superior basal vein
FMA8673	BP9501	right anterior basal segmental vein	前肺底静脈(V8);右肺下葉の上肺底静脈の前肺底枝(V8)	ぜんはいていじょうみゃく(V8);うはいかようのじょうはいていじょうみゃくのぜんはいていし(V8)
FMA8674	BP9510	right inferior basal vein	右肺下葉の下肺底静脈(V9,10)	うはいかようのかはいていじょうみゃく(V9,10)
FMA8676	BP9737	left common basal vein	左肺下葉の総肺底静脈	さはいかようのそうはいていじょうみゃく
FMA8677	BP9736	left superior basal vein	left superior basal vein	left superior basal vein
FMA8678	BP9935	left anterior basal segmental vein	前上葉静脈(V3);前上葉枝(V3);左上肺静脈の前枝(V3)|前肺底静脈(V8);左肺下葉の上肺底静脈の前肺底枝(V8)	ぜんはいていじょうみゃく(V8);さはいかようのじょうはいていじょうみゃくのぜんはいていし(V8)
FMA8679	BP9985	left inferior basal vein	left inferior basal vein	left inferior basal vein
FMA8681	BP9709	apical part of right apical segmental vein	apical part of right apical segmental vein	apical part of right apical segmental vein
FMA9140	BP9339	thoracic vertebral column	thoracic vertebral column	thoracic vertebral column
FMA9165	BP10080	first thoracic vertebra	first thoracic vertebra	first thoracic vertebra
FMA9187	BP9790	second thoracic vertebra	second thoracic vertebra	second thoracic vertebra
FMA9209	BP9927	third thoracic vertebra	third thoracic vertebra	third thoracic vertebra
FMA9248	BP10174	fourth thoracic vertebra	fourth thoracic vertebra	fourth thoracic vertebra
FMA9291	BP10208	cavity of right ventricle	cavity of right ventricle	cavity of right ventricle
FMA9348	BP9451	subaortic curtain of left ventricle	subaortic curtain of left ventricle	subaortic curtain of left ventricle
FMA9352	BP9854	papillary muscle of left ventricle	papillary muscle of left ventricle	papillary muscle of left ventricle
FMA9422	BP9873	right medial basal segmental vein	right medial basal segmental vein	right medial basal segmental vein
FMA9425	BP9401	right lateral basal segmental vein	right lateral basal segmental vein	right lateral basal segmental vein
FMA9428	BP9509	right posterior basal segmental vein	right posterior basal segmental vein	right posterior basal segmental vein
FMA9437	BP9647	left apical segmental vein	left apical segmental vein	left apical segmental vein
FMA9438	BP9574	left posterior segmental vein	left posterior segmental vein	left posterior segmental vein
FMA9450	BP9735	left lateral basal segmental vein	left lateral basal segmental vein	left lateral basal segmental vein
FMA9451	BP9984	left posterior basal segmental vein	left posterior basal segmental vein	left posterior basal segmental vein
FMA9457	BP9921	wall of right atrium	wall of right atrium	wall of right atrium
FMA9465	BP9925	cavity of left atrium	cavity of left atrium	cavity of left atrium
FMA9466	BP10057	cavity of left ventricle	cavity of left ventricle	cavity of left ventricle
FMA9473	BP9450	outflow part of left ventricle	大動脈前庭	だいどうみゃくぜんてい
FMA9496	BP9453	fibrous skeleton of heart	fibrous skeleton of heart	fibrous skeleton of heart
FMA9498	BP9452	fibrous ring of mitral valve	fibrous ring of mitral valve	fibrous ring of mitral valve
FMA9531	BP10221	wall of left atrium	wall of left atrium	wall of left atrium
FMA9533	BP9596	wall of right ventricle	wall of right ventricle	wall of right ventricle
FMA9535	BP9603	myocardium of right ventricle	myocardium of right ventricle	myocardium of right ventricle
FMA9550	BP9832	outflow part of right atrium	outflow part of right atrium	outflow part of right atrium
FMA9551	BP9456	outflow part of left atrium	outflow part of left atrium	outflow part of left atrium
FMA9552	BP9600	inflow part of right ventricle	inflow part of right ventricle	inflow part of right ventricle
FMA9553	BP10232	anterior wall of right ventricle	anterior wall of right ventricle	anterior wall of right ventricle
FMA9555	BP9638	inferior wall of right ventricle	inferior wall of right ventricle	inferior wall of right ventricle
FMA9556	BP9847	wall of left ventricle	wall of left ventricle	wall of left ventricle
FMA9558	BP9851	myocardium of left ventricle	myocardium of left ventricle	myocardium of left ventricle
FMA9560	BP9852	anterior wall of left ventricle	anterior wall of left ventricle	anterior wall of left ventricle
FMA9561	BP10001	inferior wall of left ventricle	inferior wall of left ventricle	inferior wall of left ventricle
FMA9563	BP9845	lateral wall of left ventricle	lateral wall of left ventricle	lateral wall of left ventricle
FMA9564	BP9457	inflow part of left ventricle	inflow part of left ventricle	inflow part of left ventricle
